,Title,Developer,Platform(s),Release Date,Highest Metacritic Score
214,Resistance: Retribution,Bend Studio,PSP,2009-03-12,
215,Rise of the Tomb Raider,Crystal Dynamics,"PS4, XONE, WIN",2015-01-10,
216,Robert Ludlum's The Bourne Conspiracy,High Moon Studios,"PS3, X360",2008-06-03,
217,Rogue Trooper,Rebellion Developments,"PS2, Wii, WIN, Xbox",2006-01-01,
218,Run Like Hell,Digital Mayhem,"PS2, Xbox",2002-02-27,58
219,S4 League,Game On Studio Pentavision (formerly),WIN,2008-01-01,
220,The Saboteur,Pandemic Studios,"PS3, WIN, X360",2009-12-04,
221,Saints Row,Volition,X360,2006-08-28,
222,Saints Row 2,Volition,"PS3, WIN, X360",2008-10-01,
223,Saints Row: The Third,Volition,"PS3, WIN, X360",2011-10-15,
224,Saints Row IV,Volition,"PS3, WIN, X360, PS4, XONE",2013-08-20,
225,Shadow the Hedgehog,SEGA Studio USA,"GCN, PS2, Xbox",2005-11-15,
226,Shadows of the Damned,Grasshopper Manufacture,"PS3, X360",2011-06-21,77
227,"Shield, The","Point of View, Inc.","PS2, WIN",2007-01-09,
228,Slave Zero,Accolade,"DC, WIN",1999-10-31,
229,Sniper Elite V2: Silver Star Edition,505 Games,Xbox 360,2012-05-01,
230,SOCOM U.S. Navy SEALs,Zipper Interactive,PS2,2002-08-27,82
231,SOCOM U.S. Navy SEALs: Combined Assault,Zipper Interactive,PS2,2006-11-07,
232,SOCOM U.S. Navy SEALs: Confrontation,Slant Six Games,PS3,2008-10-14,
233,SOCOM U.S. Navy SEALs: Fireteam Bravo,Zipper Interactive,PSP,2005-11-08,
234,SOCOM U.S. Navy SEALs: Fireteam Bravo 2,Zipper Interactive,PSP,2006-11-06,
235,SOCOM 3 U.S. Navy SEALs,Zipper Interactive,PS2,2005-10-11,
236,SOCOM II U.S. Navy SEALs,Zipper Interactive,PS2,2003-11-04,87
237,Spacewar! 4,Steve Russell,PDP-1,1962,
238,Space Bunnies Must Die!,Ripcord Games,WIN9X ( Microsoft Windows 98 ),1998-10-31,
239,Space Harrier,Sega,ARC,1985-12,
240,Space Raiders,Taito Corporation,"GCN, PS2",2002-12-19,40
241,Spec Ops: Covert Assault,Runecraft,PS1,2001-12-19,
242,Splatoon,Nintendo,WiiU,2015-05-28,81
243,Splatoon 2,Nintendo,Switch,2017-07-21,83
244,Soukou Kihei Votoms,Yuke's,PS2,2007-11-15,
245,Soukou Kihei Votoms: The Battling Road,Sunrise,SNES,1993-10-29,
246,Soukou Kihei Votoms: Uuodo Kummen Hen,Takara,PS1,1998-4-02,
247,SpongeBob SquarePants: Plankton's Robotic Revenge,Behaviour Interactive,"PS3, X360, Wii, WiiU, DS, 3DS",2013-10-22,
248,Starhawk,LightBox Interactive,PS3,2012-05-08,
249,Star Trek: Deep Space Nine: The Fallen,The Collective,"MAC, WIN",2000-11-15,81
250,Star Wars Battlefront: Renegade Squadron,Rebellion Developments,PSP,2007-10-09,
251,Star Wars: Battlefront,Pandemic Studios,"MOBI, PS2, WIN, Xbox",2005-01-16,
252,Star Wars: Battlefront II,Pandemic Studios,"PS2, PSP, WIN, Xbox",2006-02-15,
253,Star Wars Battlefront (2015),DICE,"PS4, WIN, XONE",2015-11-17,75
254,Star Wars Battlefront II (2017),DICE,"PS4, WIN, XONE",2017-11-17,68
255,Star Wars: Lethal Alliance,Ubisoft Montreal,"DS, PSP",2006-12-07,
256,Stranglehold,Midway Chicago,"PS3, WIN, X360",2007-09-07,
257,"Suffering, The",Surr!eal Games,"PS2, WIN, Xbox",2004-03-09,
258,Sunset Overdrive,Insomniac Games,XONE,2014-10-28,
259,Syphon Filter,Eidetic,PS1,1999-02-17,90
260,Take No Prisoners,Raven Software,WIN,1997-09-30,
261,Tempest,Atari,ARC,1981-10,
262,"Thing, The",Computer Artworks,"PS2, WIN, Xbox",2002-08-19,78
263,Terminator Salvation,Sony Computer Entertainment,"iPhone, PS3, WIN, X360",2009-05-19,
264,Tom Clancy's Splinter Cell,Ubisoft,"PC, PS2, Mac OS x, Xbox, Nintendo GameCube",2002-11-19,93
265,Tom Clancy's Ghost Recon Phantoms,Ubisoft Singapore,PC,2014-04-10,
266,Tom Clancy's Splinter Cell: Pandora Tomorrow,Ubisoft,"PC, PS2, Mac OS x, Nintendo Gamecube",2004-03-23,
267,Tom Clancy's The Division,Ubisoft,"WIN, PS4, XONE",2016-03-08,
268,Tomb Raider,Core Design,"PS1, SAT, DOS, NGE, iOS",1996-10-25,91
269,Tomb Raider,Square Enix,"PS4, PS3, XONE, X360, LINUX, OSX",2013-03-05,
270,Total Overdose,Deadline Games,"PS2, WIN, Xbox",2005-09-16,
271,Transformers: War for Cybertron,High Moon Studios,"WIN, PS3, X360",2010-06-22,
272,Transformers: Dark of the Moon (video game),High Moon Studios,"WIN, PS3, X360, N3DS, WII, DS, IOS",2011-06-14,
273,Transformers: Fall of Cybertron,High Moon Studios,"WIN, PS3, X360",2012-08-21,
274,Uncharted: Drake's Fortune,Naughty Dog,PS3,2007-11-19,88
275,Uncharted 2: Among Thieves,Naughty Dog,PS3,2009-10-13,96
276,Uncharted 3: Drake's Deception,Naughty Dog,PS3,2011-11-01,92
277,Uncharted 4: A Thief's End,Naughty Dog,PS4,2016-04-26,93
278,Vanquish,PlatinumGames,"PS3, PS4, WIN, X360, XONE",2010-10-19,84
279,Virus: It is Aware,Cryo Interactive,PS1,1999-06-??,
280,Warframe,Digital Extremes,"WIN, PS4, XONE, NX",2013-03-25,Source
281,Warhawk,Incognito Entertainment,PS3,2007-08-28,84
282,Waterworld,Ocean Software,Virtual Boy,1995-12-21,
283,Wet,Artificial Mind Movement,"PS3, X360",2009-09-15,70
284,Wild Guns,Natsume,"SNES, VC",1994-08-12,
285,WinBack,Omega Force,"N64, PS2",1999-09-23,66
286,Xybots,Atari Games,ARC,1987-11,
